Gymboree,www.gymboree.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,908,2.6,2.5,3.0,3.0,OK,44,2.4,2.9
SunEdison,www.sunedison.com,Energy,Energy,Oil, Gas, Energy & Utilities,438,2.7,3.5,2.8,2.8,OK,22,2.0,3.0
Splunk,www.splunk.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,331,3.5,4.0,3.6,3.6,Satisfied,59,3.2,3.6
New Relic,www.newrelic.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,255,3.7,4.1,4.3,4.1,Very Satisfied,79,4.0,4.3
QuinStreet,www.quinstreet.com,Advertising & Marketing,Advertising & Marketing,Business Services,246,3.3,3.1,3.3,3.2,OK,51,3.0,3.6
Enterprise,www.go.enterprise.com,Car Rental,Car Rental,Travel & Tourism,9730,3.9,3.5,3.8,3.6,Satisfied,68,3.5,2.5
Union Bank N.A.,www.unionbank.com,Investment Banking & Asset Management,Investment Banking & Asset Management,Finance,804,2.7,3.2,2.9,2.8,OK,35,2.5,3.2
NetSuite,www.netsuite.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,733,3.5,3.8,3.6,3.7,Satisfied,75,3.4,3.7
Esurance,www.esurance.com,Insurance Carriers,Insurance Carriers,Insurance,509,2.9,3.0,3.3,3.0,OK,49,2.7,3.1
Jamba Juice,www.jambajuice.com,Fast-Food & Quick-Service Restaurants,Fast-Food & Quick-Service Restaurants,Restaurants, Bars & Food Services,1037,2.8,2.4,3.4,3.5,Satisfied,61,2.9,3.5
Banana Republic,www.bananarepublic.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,2531,3.2,3.1,3.7,3.6,Satisfied,67,3.2,3.4
,,,,,,,,,,,,,
Trader Joe's,www.traderjoes.com,Grocery Stores & Supermarkets,Grocery Stores & Supermarkets,Retail,2188,3.5,4.1,4.2,4.1,Very Satisfied,85,3.6,3.7
Stitch Fix,www.stitchfix.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,488,2.8,3.2,3.8,3.5,Satisfied,67,3.3,4.0
Lithium Technologies,www.lithium.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,232,3.2,3.6,3.5,3.3,OK,58,3.2,4.1
KIXEYE,corp.kixeye.com,Video Games,Video Games,Media,172,4.0,4.2,4.0,4.3,Very Satisfied,82,3.9,3.9
Morgan Stanley,www.morganstanley.com,Investment Banking & Asset Management,Investment Banking & Asset Management,Finance,6238,3.6,3.5,3.8,3.8,Satisfied,77,3.5,3.4
,,,,,,,,,,,,,
UPS,www.upsjobs.com,Logistics & Supply Chain,Logistics & Supply Chain,Transportation & Logistics,10473,3.5,3.7,3.3,3.5,Satisfied,63,3.0,3.1
Verizon Wireless,www.verizonwireless.com,IT Services,IT Services,Information Technology,9203,3.3,4.2,3.4,3.6,Satisfied,64,2.9,2.9
EFI,www.efi.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,449,2.7,3.0,3.0,2.9,OK,43,2.5,3.1
MuleSoft,www.mulesoft.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,214,4.2,4.1,4.2,4.2,Very Satisfied,81,4.1,3.4
Edelman,www.edelman.com,Advertising & Marketing,Advertising & Marketing,Business Services,1760,3.6,3.1,3.6,3.4,OK,65,3.3,3.0
CVS Health,jobs.cvshealth.com,Health Care Services & Hospitals,Health Care Services & Hospitals,Health Care,12994,2.8,2.7,2.7,2.8,OK,36,2.4,2.6
Cost Plus,www.worldmarket.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,922,2.9,2.8,3.5,3.4,OK,62,3.0,3.3
Chase,www.chase.com,Banks & Credit Unions,Banks & Credit Unions,Finance,5895,3.4,3.6,3.6,3.6,Satisfied,72,3.2,3.4
Intuit,www.intuit.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,3840,3.8,4.4,4.4,4.2,Very Satisfied,85,3.9,4.2
Reputation.com,www.reputation.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,166,3.9,3.7,4.0,4.0,Satisfied,74,3.8,3.9
Asana,www.asana.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,116,4.8,4.8,4.9,4.9,Very Satisfied,97,4.8,4.9
Gensler,www.gensler.com,Architectural & Engineering Services,Architectural & Engineering Services,Business Services,716,4.1,3.6,4.2,4.1,Very Satisfied,83,3.7,3.6
Brightedge Technologies,www.brightedge.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,206,3.4,3.5,3.1,3.2,OK,55,3.1,3.0
Zuora,www.zuora.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,224,4.2,4.2,4.5,4.5,Very Satisfied,88,4.3,4.0
Kabam,www.kabam.com,Audiovisual,Audiovisual,Arts, Entertainment & Recreation,191,3.3,3.7,4.0,3.8,Satisfied,82,3.3,3.8
C3 IoT,www.c3iot.ai,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,164,4.9,4.7,4.9,4.9,Very Satisfied,99,4.9,4.2
Twitch,www.twitch.tv,Video Games,Video Games,Media,165,2.7,3.6,3.0,2.9,OK,45,2.5,3.4
OpenTable,www.opentable.com,Internet,Internet,Information Technology,214,3.4,3.7,4.3,4.0,Satisfied,74,3.7,4.3
Sunrun,www.sunrun.com,Energy,Energy,Oil, Gas, Energy & Utilities,434,2.9,3.2,3.2,3.1,OK,52,2.7,3.0
